Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
03/08/2022,"4.003,00","4.100,00","4.430,00","3.909,00",-,"-8,08%"
03/07/2022,"4.355,00","5.001,00","5.001,00","3.632,00",-,"-14,41%"
03/06/2022,"5.088,00","6.632,00","6.885,00","4.660,00",-,"-22,99%"
03/05/2022,"6.607,00","7.473,00","7.473,00","6.400,00",-,"-14,00%"
03/04/2022,"7.683,00","6.353,00","7.817,00","6.177,00",-,"+20,22%"
03/03/2022,"6.391,00","7.365,00","8.757,00","6.105,00",-,"-14,23%"
03/02/2022,"7.451,00","5.680,00","7.530,00","5.455,00",-,"+28,80%"
03/01/2022,"5.785,00","5.260,00","5.840,00","5.217,00",-,"+12,13%"
03/12/2021,"5.159,00","5.217,00","5.320,00","4.736,00",-,"-0,56%"
03/11/2021,"5.188,00","5.400,00","5.500,00","5.140,00",-,"-3,96%"
03/10/2021,"5.402,00","4.791,00","5.440,00","4.747,00",-,"+11,77%"
03/09/2021,"4.833,00","4.441,00","4.848,00","4.400,00",-,"+7,40%"
03/08/2021,"4.500,00","4.490,00","4.740,00","4.419,00",-,"-3,35%"
03/07/2021,"4.656,00","3.950,00","4.740,00","3.815,00",-,"+23,11%"
03/06/2021,"3.782,00","4.130,00","4.300,00","3.434,00",-,"-6,01%"
03/05/2021,"4.024,00","4.578,00","4.923,00","4.010,00",-,"-8,71%"
03/04/2021,"4.408,00","4.104,00","4.504,00","4.098,00",-,"+8,54%"
03/03/2021,"4.061,00","4.027,00","4.330,00","3.847,00",-,"+1,88%"
03/02/2021,"3.986,00","3.890,00","4.056,00","3.690,00",-,"+1,30%"
03/01/2021,"3.935,00","3.950,00","4.040,00","3.435,00",-,"+1,13%"
03/12/2020,"3.891,00","3.438,00","3.900,00","3.435,00",-,"+12,82%"
03/11/2020,"3.449,00","3.181,00","3.627,00","3.181,00",-,"+6,06%"
03/10/2020,"3.252,00","2.890,00","3.370,00","2.823,00",-,"+14,55%"
03/09/2020,"2.839,00","2.898,00","3.121,00","2.829,00",-,"-0,21%"
03/08/2020,"2.845,00","2.880,00","2.950,00","2.705,00",-,"+2,34%"
03/07/2020,"2.780,00","2.400,00","2.900,00","2.390,00",-,"+16,86%"
03/06/2020,"2.379,00","2.377,00","2.551,00","2.377,00",-,"+0,25%"
03/05/2020,"2.373,00","2.060,00","2.373,00","2.000,00",-,"+12,89%"
03/04/2020,"2.102,00","2.520,00","2.520,00","2.018,00",-,"-17,57%"
03/03/2020,"2.550,00","2.415,00","2.591,00","2.241,00",-,"+8,19%"
03/02/2020,"2.357,00","2.647,00","2.940,00","2.350,00",-,"-10,72%"
03/01/2020,"2.640,00","3.060,00","3.132,00","2.629,00",-,"-13,19%"
03/12/2019,"3.041,00","2.590,00","3.118,00","2.590,00",-,"+16,07%"
03/11/2019,"2.620,00","2.400,00","2.687,00","2.381,00",-,"+7,20%"
03/10/2019,"2.444,00","2.112,00","2.444,00","2.073,00",-,"+17,61%"
03/09/2019,"2.078,00","2.145,00","2.230,00","2.067,00",-,"-4,15%"
03/08/2019,"2.168,00","2.000,00","2.253,00","2.000,00",-,"+7,38%"
03/07/2019,"2.019,00","1.886,00","2.019,00","1.870,00",-,"+8,26%"
03/06/2019,"1.865,00","2.013,00","2.039,00","1.845,00",-,"-8,13%"
03/05/2019,"2.030,00","1.935,00","2.072,00","1.900,00",-,"+2,42%"
03/04/2019,"1.982,00","2.000,00","2.162,00","1.985,00",-,"-0,95%"
03/03/2019,"2.001,00","1.942,00","2.099,00","1.880,00",-,"+4,49%"
03/02/2019,"1.915,00","2.227,00","2.238,00","1.908,00",-,"-12,95%"
03/01/2019,"2.200,00","2.030,00","2.229,00","2.030,00",-,"+9,78%"
03/12/2018,"2.004,00","1.882,00","2.142,00","1.756,00",-,"+7,05%"
03/11/2018,"1.872,00","1.982,00","2.009,00","1.750,00",-,"-5,84%"
03/10/2018,"1.988,00","2.114,00","2.159,00","1.988,00",-,"-6,14%"
03/09/2018,"2.118,00","2.187,00","2.240,00","2.090,00",-,"-3,73%"
03/08/2018,"2.200,00","2.123,00","2.249,00","2.123,00",-,"+3,19%"
03/07/2018,"2.132,00","2.290,00","2.300,00","2.090,00",-,"-7,22%"
03/06/2018,"2.298,00","2.419,00","2.446,00","2.243,00",-,"-5,32%"
03/05/2018,"2.427,00","2.340,00","2.481,00","2.310,00",-,"+4,43%"
03/04/2018,"2.324,00","2.400,00","2.479,00","2.323,00",-,"-2,35%"
03/03/2018,"2.380,00","2.563,00","2.578,00","2.330,00",-,"-7,43%"
03/02/2018,"2.571,00","2.480,00","2.577,00","2.451,00",-,"+3,25%"
03/01/2018,"2.490,00","2.466,00","2.591,00","2.428,00",-,"+1,88%"
03/12/2017,"2.444,00","2.519,00","2.519,00","2.300,00",-,"-2,04%"
03/11/2017,"2.495,00","2.810,00","2.811,00","2.450,00",-,"-10,61%"
03/10/2017,"2.791,00","2.710,00","2.828,00","2.670,00",-,"+2,65%"
03/09/2017,"2.719,00","2.671,00","2.885,00","2.671,00",-,"+1,46%"
03/08/2017,"2.680,00","2.675,00","2.780,00","2.576,00",-,"+0,30%"
03/07/2017,"2.672,00","2.633,00","2.708,00","2.550,00",-,"+2,93%"
03/06/2017,"2.596,00","2.760,00","2.779,00","2.576,00",-,"-5,57%"
03/05/2017,"2.749,00","2.725,00","2.922,00","2.700,00",-,"+2,04%"
03/04/2017,"2.694,00","2.841,00","2.936,00","2.574,00",-,"-4,91%"
03/03/2017,"2.833,00","2.915,00","3.050,00","2.825,00",-,"-2,24%"
03/02/2017,"2.898,00","3.230,00","3.335,00","2.866,00",-,"-10,28%"
03/01/2017,"3.230,00","3.241,00","3.330,00","3.153,00",-,"+0,37%"
03/12/2016,"3.218,00","3.085,00","3.240,00","3.080,00",-,"+4,41%"
03/11/2016,"3.082,00","2.775,00","3.092,00","2.750,00",-,"+11,51%"
03/10/2016,"2.764,00","2.742,00","2.820,00","2.579,00",-,"-0,40%"
03/09/2016,"2.775,00","2.770,00","2.920,00","2.720,00",-,"-0,50%"
03/08/2016,"2.789,00","2.396,00","2.953,00","2.370,00",-,"+17,48%"
03/07/2016,"2.374,00","2.434,00","2.441,00","2.280,00",-,"-1,08%"
03/06/2016,"2.400,00","2.655,00","2.681,00","2.370,00",-,"-8,92%"
03/05/2016,"2.635,00","2.550,00","2.750,00","2.507,00",-,"+2,45%"
03/04/2016,"2.572,00","2.720,00","2.742,00","2.545,00",-,"-4,39%"
03/03/2016,"2.690,00","2.463,00","2.740,00","2.431,00",-,"+8,51%"
03/02/2016,"2.479,00","2.347,00","2.566,00","2.347,00",-,"+5,53%"
03/01/2016,"2.349,00","2.310,00","2.420,00","2.175,00",-,"-2,04%"
03/12/2015,"2.398,00","2.180,00","2.400,00","2.154,00",-,"+12,06%"
03/11/2015,"2.140,00","2.241,00","2.259,00","2.086,00",-,"-4,38%"
03/10/2015,"2.238,00","2.280,00","2.394,00","2.176,00",-,"-2,95%"
03/09/2015,"2.306,00","1.915,00","2.395,00","1.915,00",-,"+19,61%"
03/08/2015,"1.928,00","2.094,00","2.095,00","1.800,00",-,"-9,06%"
03/07/2015,"2.120,00","2.260,00","2.260,00","2.096,00",-,"-4,68%"
03/06/2015,"2.224,00","2.200,00","2.323,00","2.200,00",-,"+2,49%"
03/05/2015,"2.170,00","2.135,00","2.220,00","2.120,00",-,"+4,83%"
03/04/2015,"2.070,00","2.210,00","2.240,00","2.055,00",-,"-3,09%"
03/03/2015,"2.136,00","2.355,00","2.410,00","2.078,00",-,"-7,97%"
03/02/2015,"2.321,00","2.178,00","2.330,00","2.159,00",-,"+7,75%"
03/01/2015,"2.154,00","2.265,00","2.400,00","2.117,00",-,-
